reporting_year,period_month,income_type,account_name,account_currency,amount_account_currency,fx_rate_month_end,reporting_currency,amount_reporting
2026,2026-03,non_investment_income_sgd,TWH DBS Multi SGD,SGD,10360.00,1.0000,SGD,10360.00
2026,2026-04,non_investment_income_sgd,TWH DBS Multi SGD,SGD,10360.00,1.0000,SGD,10360.00
2026,2026-05,non_investment_income_sgd,TWH DBS Multi SGD,SGD,10486.42,1.0000,SGD,10486.42
2026,2026-06,non_investment_income_sgd,TWH DBS Multi SGD,SGD,10360.00,1.0000,SGD,10360.00
2026,2026-07,non_investment_income_sgd,TWH DBS Multi SGD,SGD,10360.00,1.0000,SGD,10360.00
2026,2026-08,non_investment_income_sgd,TWH DBS Multi SGD,SGD,10360.00,1.0000,SGD,10360.00
2026,2026-09,non_investment_income_sgd,TWH DBS Multi SGD,SGD,10360.00,1.0000,SGD,10360.00
2026,2026-10,non_investment_income_sgd,TWH DBS Multi SGD,SGD,10360.00,1.0000,SGD,10360.00
